iter	RMSE
0	61.64931443
1	59.45485165
2	57.50748686
3	55.77510074
4	54.26155683
5	52.91972596
6	51.75058199
7	50.72754634
8	49.79878831
9	48.98333521
10	48.26367509
11	47.62554736
12	47.07332696
13	46.57853128
14	46.1369054
15	45.74502914
16	45.39150776
17	45.08624161
18	44.81302225
19	44.56649693
20	44.3582837
21	44.15644172
22	43.96451852
23	43.79814145
24	43.64548458
25	43.51121285
26	43.37850666
27	43.26729687
28	43.1624879
29	43.0582852
30	42.9583565
31	42.88466492
32	42.80643758
33	42.73197637
34	42.65181132
35	42.58233487
36	42.51332755
37	42.45169781
38	42.3930122
39	42.33286745
40	42.27518262
41	42.21766774
42	42.17401398
43	42.13507972
44	42.08903086
45	42.0364252
46	41.98091694
47	41.93448674
48	41.90156839
49	41.8649688
50	41.83310595
51	41.8054736
52	41.75463861
53	41.69958208
54	41.66228662
55	41.62100096
56	41.58458096
57	41.55003895
58	41.5257156
59	41.49948424
60	41.4680602
61	41.43205535
62	41.39166403
63	41.37018827
64	41.32563889
65	41.27452506
66	41.24888311
67	41.20604671
68	41.16875063
69	41.14038125
70	41.10418078
71	41.06537445
72	41.03796915
73	41.00273385
74	40.98154933
75	40.96179772
76	40.93716375
77	40.90020893
78	40.85580715
79	40.82693945
80	40.7950087
81	40.76705222
82	40.75101066
83	40.7347795
84	40.68323632
85	40.65786903
86	40.64035575
87	40.62211659
88	40.60077982
89	40.5451633
90	40.52056974
91	40.49768712
92	40.48062421
93	40.43671084
94	40.40335813
95	40.37818713
96	40.35730575
97	40.33145895
98	40.30954514
99	40.28058543
100	40.2316388
101	40.21622374
102	40.17533085
103	40.15430401
104	40.14447955
105	40.13157256
106	40.10963476
107	40.06903994
108	40.03629963
109	40.01765047
110	39.99544469
111	39.96581116
112	39.93426674
113	39.88851754
114	39.86961925
115	39.84198718
116	39.81163123
117	39.79498113
118	39.77890363
119	39.75375279
120	39.72879559
121	39.72372631
122	39.67365991
123	39.64687862
124	39.61715415
125	39.59705699
126	39.57492035
127	39.55596975
128	39.53261037
129	39.51120498
130	39.48734056
131	39.47358227
132	39.45922254
133	39.42847756
134	39.40800609
135	39.38816116
136	39.3496057
137	39.30878807
138	39.27970703
139	39.24798832
